,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
113650,2lypX2C1BRKDFefGOQ0eXM,Karşıyım,57,238691,0,['Sezen Aksu'],2020-07-17,0.702,0.874,0,-5.881,0,0.0909,0.309,0.0,0.059,0.825,150.021,4,https://i.scdn.co/image/ab67616d0000b2732547478d6b7d881c15d5904d,https://open.spotify.com/track/2lypX2C1BRKDFefGOQ0eXM,1490
113657,5wA2wORyr8uptmOnFIdUTN,Erkek Güzeli,56,249733,0,['Sezen Aksu'],2020-11-06,0.657,0.696,7,-5.845,1,0.0511,0.42,0.0,0.0648,0.777,142.945,4,https://i.scdn.co/image/ab67616d0000b273f9cfeba5f060b24949402a13,https://open.spotify.com/track/5wA2wORyr8uptmOnFIdUTN,1490
113671,5hdip1meqoJHgZAahYcvGD,Kendimce,55,210156,0,['Sezen Aksu'],2020-10-02,0.776,0.513,0,-6.596,1,0.0358,0.405,0.0,0.34,0.903,127.989,4,https://i.scdn.co/image/ab67616d0000b27353c3a86b1d8a78836dc97b45,https://open.spotify.com/track/5hdip1meqoJHgZAahYcvGD,1490
129308,6VEn2d1Qyxv13xOKZudotA,Mr. Krinkle,43,327893,0,['Primus'],1993-01-01,0.569,0.8,0,-9.41,1,0.0713,0.328,0.384,0.156,0.777,127.19,4,https://i.scdn.co/image/ab67616d0000b273326b2d4678a8aaf6ecea600f,https://open.spotify.com/track/6VEn2d1Qyxv13xOKZudotA,1490
138254,7fTFiQ79Vr8f0cDM1k074W,Paradicsom (Lotfi Begi Remix),40,196800,0,['Hooligans'],2014-11-06,0.739,0.627,7,-8.762,1,0.0363,0.00248,0.0,0.435,0.596,119.923,4,https://i.scdn.co/image/ab67616d0000b273a68df843838aa582a22b4a55,https://open.spotify.com/track/7fTFiQ79Vr8f0cDM1k074W,1490
138263,5FXN8jIhrXPzZ85t1fOaNj,Legyen valami,35,278440,0,"['Hooligans', 'Ganxsta Döglégy Zolee']",2014-11-06,0.642,0.942,2,-3.71,1,0.0464,0.00347,0.0,0.0626,0.603,119.023,4,https://i.scdn.co/image/ab67616d0000b273a68df843838aa582a22b4a55,https://open.spotify.com/track/5FXN8jIhrXPzZ85t1fOaNj,1490
161326,0fcirO0A0UDcfuhyVzPgbZ,Illúzió,32,228760,0,['Hooligans'],2010-01-01,0.525,0.936,0,-3.352,1,0.0302,0.000173,0.0,0.409,0.755,127.958,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
162594,0lSMXNAFsSCCtkzclet3oG,Affet,67,164560,0,['Sezen Aksu'],2021-02-03,0.42,0.398,8,-6.041,0,0.0377,0.448,0.0,0.0969,0.335,142.271,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
169380,1GPLHjO42TFuIos5JNjYpL,Nowhere With You,41,181640,0,['Joel Plaskett Emergency'],2006-01-01,0.483,0.944,2,-5.336,1,0.118,0.00648,0.000108,0.087,0.453,140.055,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
173147,1XTRWBq2wAXDf4ozKgkyc9,オレンジの河,36,261067,0,['Miki Imai'],1986-12-05,0.663,0.898,4,-3.716,0,0.0319,0.394,0.00158,0.221,0.707,128.082,4,http://orig12.deviantart.net/846f/f/2015/245/9/b/new_spotify_icon_by_mattroxzworld-d98301o.png,https://open.spotify.com/,1490
